user_id,date,amount,category,type,merchant,location,payment_method
1001,5/8/2025,507.43,salary,Credit,Barnes-Martinez,Hillburgh,Credit Card
1001,5/17/2025,1528.47,salary,Credit,"Austin, Lopez and Thomas",West Cheryl,ACH
1001,5/9/2025,1007.24,entertainment,Debit,Mckee Ltd,Simmonsbury,ACH
1001,5/24/2025,1270.16,travel,Debit,Cross-Rodriguez,North Erintown,Credit Card
1001,4/9/2025,432.81,rent,Debit,Greer Group,East Maria,ACH
1001,6/1/2025,2817.21,groceries,Debit,Hayes LLC,New Johnfurt,ACH
1001,6/13/2025,2864.67,groceries,Debit,Stokes and Sons,East Michaelview,Credit Card
1001,5/10/2025,1625.93,salary,Credit,"Yang, Kemp and Richmond",West Jayville,ACH
1001,4/28/2025,697.05,rent,Debit,Jones Ltd,Donnaview,Debit Card
1001,5/26/2025,-427.76,travel,Debit,"Johnson, Wise and Wilson",Ronaldberg,Debit Card
1001,5/30/2025,-16.28,salary,Credit,"Mcdonald, Braun and Gonzalez",Pearsonhaven,Credit Card
1001,3/28/2025,2459.59,travel,Debit,"Davis, Daniels and Banks",Lake Karaberg,ACH
1001,4/1/2025,1200,salary,Credit,Johnson-Sanders,Goodwinstad,Credit Card
1001,5/17/2025,869.66,travel,Debit,Davis-Wells,West Kevinhaven,ACH
1001,4/25/2025,-16.02,salary,Credit,"Hernandez, White and Barrett",Lake Kevinborough,Credit Card
1001,4/23/2025,574.58,salary,Credit,Cain Inc,Cooleyshire,Debit Card
1001,6/8/2025,298.17,utilities,Debit,"Deleon, Fox and Hobbs",South Kylefort,ACH
1001,4/25/2025,682.06,utilities,Debit,Davidson-Sweeney,Nolanfurt,Credit Card
1001,5/15/2025,2567.62,rent,Debit,"Warner, Harris and Gilbert",West Margaretshire,Debit Card
1001,5/30/2025,2825.38,utilities,Debit,Green-Thomas,New Joseph,Debit Card
1002,5/22/2025,-189.68,rent,Debit,"Cohen, Smith and Larsen",North Glennside,Credit Card
1002,6/15/2025,-46.44,groceries,Debit,Hoffman-Harris,North Tyler,ACH
1002,6/10/2025,2560.75,salary,Credit,Bender-Gray,Brownmouth,Credit Card
1002,3/29/2025,2901.67,entertainment,Debit,Williams-Reed,Rogersport,Credit Card
1002,4/13/2025,2631.77,travel,Debit,Green-Estes,Adamsbury,ACH
1002,5/15/2025,1641.98,salary,Credit,Randall-Lucas,Derrickside,Credit Card
1002,6/18/2025,-100.27,travel,Debit,"Marshall, Bolton and Johnson",Maynardport,Debit Card
1002,3/26/2025,1447.65,entertainment,Debit,"Larsen, Daniel and Davis",Lake Theresachester,ACH
1002,5/2/2025,2765.91,travel,Debit,"Banks, James and Randolph",Lake Janiceville,Credit Card
1002,6/8/2025,2166.11,salary,Credit,"Lewis, Romero and Carter",North Kristinburgh,ACH
1002,6/12/2025,2651.59,salary,Credit,"Wilson, Alvarado and Gilbert",West Darlenebury,Debit Card
1002,6/9/2025,2841.95,travel,Debit,Barber Group,South Johnport,Credit Card
1002,4/29/2025,2094.31,entertainment,Debit,Cruz-Wolf,Gilbertland,Credit Card
1002,3/29/2025,2237.57,rent,Debit,Dunn and Sons,South Amandatown,Credit Card
1002,4/22/2025,331.33,groceries,Debit,Brown LLC,Andersonville,ACH
1002,5/27/2025,1914.57,utilities,Debit,Crosby Inc,North Dennis,ACH
1002,6/10/2025,255.43,salary,Credit,"Baker, Obrien and Castro",New Jasmine,Credit Card
1002,6/12/2025,2536.86,salary,Credit,Clark-Avery,South Stephanie,ACH
1002,5/10/2025,2053.65,rent,Debit,Brown-Smith,Butlerborough,ACH
1002,4/27/2025,2306.08,utilities,Debit,Graves Group,West Lisahaven,ACH
1003,5/18/2025,43.84,entertainment,Debit,Jacobs Inc,Alvarezchester,Debit Card
1003,5/15/2025,1556.41,travel,Debit,Swanson and Sons,Destinyfurt,ACH
1003,6/4/2025,54.39,utilities,Debit,Jones-Salazar,Kathyburgh,ACH
1003,3/23/2025,2456.23,rent,Debit,Dickson PLC,Josephbury,Credit Card
1003,3/28/2025,1893.74,entertainment,Debit,Levine-Kennedy,West Emily,ACH
